
Отбор:	Выпускающая кафедра Равно "Кафедра 305"
	
Выпускающая кафедра				
Год поступления				
УП	Статус разработки УП	Количество дисциплин	Количество дисциплин с РПД	Код УП
Основы прикладной гидро- и аэродинамики	Кафедра 602			
РП дисциплины "Основы прикладной гидро- и аэродинамики", 000012578	Утвержден			
Основы теории пилотажно-навигационных систем	Кафедра 305			
РП дисциплины "Основы теории пилотажно-навигационных систем", 000005954	Утвержден			
Основы теории управления	Кафедра 301			
РП дисциплины "Основы теории управления", 000011666	Утвержден			
Политика и право	Кафедра 003			
РП дисциплины "Политика и право"    , 000023364	Утвержден			
Политология	Кафедра 003			
РП дисциплины "Политология" , 000011648	Утвержден			
Правоведение	Кафедра 003			
РП дисциплины "Правоведение", 000011752	Утвержден			
Преддипломная практика	Кафедра 303			
РП практики "Преддипломная практика", 000017203	Утвержден			
Приборы и датчики высотно- скоростных параметров	Кафедра 303			
РП дисциплины "Приборы и датчики высотно- скоростных параметров"  13.10.2015 20:01:50 Захарян Р.Р.), 000029221	Утвержден			
РП дисциплины "Приборы и датчики высотно- скоростных параметров"  13.10.2015 20:01:50 Захарян Р.Р.) (Копия 04.11.2016 12:04:45 Захарян Р.Р.), 000043615	В архиве			
Приборы и измерительно-вычислительные комплексы систем управления летательных аппаратов	Кафедра 303			
РП дисциплины "Приборы и измерительно-вычислительные комплексы систем управления летательных аппаратов" каф.303, спец.161101.С13, 000017345	Утвержден			
Проектирование приборных комплексов	Кафедра 303			
РП дисциплины "Проектирование приборных комплексов" (Направление 161101, кафедра 303), 000015904	Утвержден			
Производственная практика	Кафедра 303			
РП практики "Производственная практика" 161101.С13, 000013291	Утвержден			
Производственно-технологическая практика	Кафедра 307			
РП практики "Производственно-технологическая практика", 000011002	Утвержден			
Резервирование технических систем	Кафедра 303			
РП дисциплины "Резервирование технических систем" каф.303 спец.161101.С13, 000017336	Утвержден			
Системы автоматического управления воздушными летательными аппаратами	Кафедра 301			
РП дисциплины "Системы автоматического управления воздушными летательными аппаратами", 000039696	Утвержден			
Системы автоматического управления космическими летательными аппаратами	Кафедра 303			
РП дисциплины "Системы автоматического управления космическими летательными аппаратами", 000053870	Утвержден			
Системы отбражения информации систем управления летательных аппаратов	Кафедра 303			
РП дисциплины "Системы отбражения информации систем управления летательных аппаратов"  по 161101 каф 303 (Белобжеский Л.А.) , 000011360	Утвержден			
Случайные процессы и статистические технологии	Кафедра 305			
РП дисциплины "Случайные процессы и статистические технологии", 000013042	Утвержден			
Социология	Кафедра 009			
РП дисциплины "Социология" 2 з.е.   , 000010066	Утвержден			
Специальные технологии 1 (обработка изображений)	Кафедра 303			
РП дисциплины "Специальные технологии 1 (обработка изображений)" (Копия 01.09.2012 21:11:06 Костюков В.М.), 000002918	Утвержден			
Специальные технологии 2 (моделирование газавых сред)	Кафедра 303			
РП дисциплины "Специальные технологии 2 (моделирование газовых сред)" , 000016083	Утвержден			
Теоретическая механика	Кафедра 802			
РП дисциплины "Теоретическая механика" очного специалитета по 161101, 000102214	Утвержден			
Теоретические основы электротехники и электроизмерений	Кафедра 309			
РП дисциплины "Теоретические основы электротехники и электроизмерений" 161101.13 , 000003982	Утвержден			
Теория вероятностей и математическая статистика	Кафедра 302			
РП дисциплины "Теория вероятностей и математическая статистика", 000001394	Утвержден			
Теория случайных процессов	Кафедра 305			
РП дисциплины "Теория случайных процессов", 000001958	Утвержден			
Теория функций комплексного переменного	Кафедра 804			
РП дисциплины "Теория функций комплексного переменного", 3 з.е. (161101)  , 000014775	Утвержден			
Технология приборостроения	Кафедра 307			
РП дисциплины "Технология приборостроения", 000008631	Утвержден			
УИРС	Кафедра 303			
РП дисциплины "УИРС" (каф.303, оч. спец-т 161101), 000003055	Утвержден			
Учебная практика	Кафедра 303			
Вычислительная практика (копия, каф.303, очн спец-т 161101. Белобжеский Л.А.) , 000011362	В архиве			
РП практики Учебная практика (каф.303, очн спец-т 161101. Белобжеский Л.А.), 000011355	Утвержден			
Физика	Кафедра 801			
РП дисциплины "Физика" (специалитет 161101) , 000000507	Утвержден			
Физические методы получения информации	Кафедра 303			
РП дисциплины "Физические методы получения информации", 000003035	Утвержден			
РП дисциплины "Физические методы получения информации" (Копия 03.11.2016 20:35:22 Захарян Р.Р.), 000043608	В архиве			
РП дисциплины "Физические методы получения информации" (Копия 03.11.2016 20:35:22 Захарян Р.Р.) (Копия 04.11.2016 13:07:53 Захарян Р.Р.), 000043618	В архиве			
Философия	Кафедра 517			
РП дисциплины "Философия"  очного специалитета по 161101, 000007491	Утвержден			
Химия	Кафедра 908			
РП дисциплины "Химия" для очного специалитета по 161101, 000015722	Утвержден			
Цифровые сети систем управления летательных аппаратов	Кафедра 303			
РП дисциплины "Цифровые сети систем управления летательных аппаратов" (Копия 01.08.2012 15:50:42 Костюков В.М.), 000002702	Утвержден			
Численные методы	Кафедра 804			
РП дисциплины "Численные методы" для специалитета по направлению 161101, 000003096	Утвержден			
Экология	Кафедра 301			
РП дисциплины "Экология" (очн. спец. 161101.9 каф. 301), 000036481	Утвержден			
Экономика	Кафедра 507			
РП дисциплины "Экономика" (1 семестр) (Любимцева С.В.), 000019701	Утвержден			
Экономика отрасли	Кафедра 502			
РП дисциплины "Экономика отрасли" специалитет, 000014295	Утвержден			
Эксплуатационная практика	Кафедра 303			
РП практики "Эксплуатационная практика", 000017200	Утвержден			
Эксплуатация и испытание систем управления летательных аппаратов	Кафедра 305			
РП дисциплины "Эксплуатация и испытание систем управления летательных аппаратов" (Копия 12.12.2014 17:21:24 Кошелев Б.В.), 000020590	Утвержден			
Электроника	Кафедра 306			
РП дисциплины "Электроника", 000014648	Утвержден			
Электрооборудование летательных аппаратов и средства их подготовки	Кафедра 310			
РП дисциплины "Электрооборудование летательных апппаратов и средства их подготовки", 000012022	Утвержден			
Язык программирования C++	Кафедра 303			
РП дисциплины "Язык программирования С++" 161101.13, 000007358	Утвержден			
Языки программирования	Кафедра 303			
РП дисциплины "Языки программирования" 161101.13, 000015874	Утвержден			
УП очного специалитета по 161101 "Навигационные системы и инерциальные датчики систем управления ЛА"	Утвержден	75	74	000006033
Алгоритмические языки и программирование	Кафедра 311			
РП дисциплины "Алгоритмические языки и программирование" , 000016683	Утвержден			
Аналитическая механика и теория колебаний	Кафедра 305			
РП дисциплины "Аналитическая механика и теория колебаний", 000014254	Утвержден			
Безопасность жизнедеятельности	Кафедра 503			
РП дисциплины "Безопасность жизнедеятельности" (каф. 301, 305), 000010472	Утвержден			
Введение в специальность	Кафедра 301			
РП дисциплины "Введение в специальность" (очн. спец. 161101.11 каф. 301 для каф. 305), 000013472	Утвержден			
Гироскопические приборы	Кафедра 305			
РП дисциплины "Гироскопические приборы", 000008163	Утвержден			
Гироскопические системы ориентации	Кафедра 305			
РП дисциплины "Гироскопические системы ориентации", 000002564	Утвержден			
Гироскопические стабилизаторы	Кафедра 305			
РП дисциплины "Гироскопические стабилизаторы", 000007888	Утвержден			
Динамика полета воздушных и космических летательных аппаратов	Кафедра 301			
РП дисциплины "Динамика полета воздушных и космических летательных аппаратов" (161101.11 очн.спец.), 000001385	Утвержден			
Дифференциальные уравнения	Кафедра 804			
РП дисциплины "Дифференциальные уравнения" для очного специалитета по направлению 161101 на 3 з.е. , 000002361	Утвержден			
Инерциальные датчики систем управления	Кафедра 305			
РП дисциплины "Инерциальные датчики систем управления", 000008854	Утвержден			
Инженерная и компьютерная графика	Кафедра 904			
РП дисциплины "Инженерная и компьютерная графика" (специалитет)  Кожухова Е.А., 000000730	Утвержден			
Иностранный язык-1	Кафедра И-12			
РП дисциплины "Иностранный язык-1" (оч.спец.Навигационные системы и инерциальные датчики систем управления летательных аппаратов (каф.305), 000014911	Утвержден			
Иностранный язык-2	Кафедра И-12			
РП дисциплины "Иностранный язык-2"  (очн. спец.161101 "Навигационные системы и инерциальные датчики систем управления ЛА"  каф.305), 000037577	Утвержден			
Информатика	Кафедра 304			
РП дисциплины "Информатика" разр.каф. 304(спец.161101,2011), 000005143	Утвержден			
Испытание приборов и систем	Кафедра 308			
РП дисциплины "Испытание приборов и систем", 000017174	Утвержден			
История	Кафедра 518			
РП дисциплины "История" , 000006310	Утвержден			
История культуры	Кафедра 004			
РП дисциплины "История культуры" Шаблон УП очного специалитета по 161101, 000023818	Утвержден			
Культурология	Кафедра 004			
РП дисциплины "Культурология" очного специалитета по 161101, 000014606	Утвержден			
Линейная алгебра и аналитическая геометрия	Кафедра 804			
РП дисциплины Линейная алгебра (161101, 3ф 2011/12 уч.год) Осокин А.В., 000060260	Утвержден			
Математический анализ	Кафедра 804			
РП дисциплины "Математический анализ" для специалитета на 10 з.е. (161101)   , 000002825	Утвержден			
Материаловедение	Кафедра 903			
РП дисциплины "Материаловедение" очного специалитета по 161101    "Навигационные системы и инерциальные датчики систем управления ЛА", 000015491	Утвержден			
Методы оптимизации	Кафедра 305			
РП дисциплины "Методы оптимизации", 000008332	Утвержден			
Метрологическое обеспечение измерений в системах ориентации и навигации	Кафедра 305			
РП дисциплины "Метрологическое обеспечение измерений в системе ориентации и навигации", 000002499	Утвержден			
Метрология, стандартизация и сертификация	Кафедра 303			
РП дисциплины "Метрология, стандартизация и сертификация", 000017191	Утвержден			
Микропроцессорная техника в приборах, системах и комплексах	Кафедра 305			
РП дисциплины "Микропроцессорная техника в приборах, системах и комплексах", 000014353	Утвержден			
Моделирование систем	Кафедра 305			
РП дисциплины "Моделирование систем", 000001511	Утвержден			
Навигационные системы	Кафедра 305			
РП дисциплины "Навигационные системы", 000003281	Утвержден			
Надежность и техническая диагностика приборов	Кафедра 305			
РП дисциплины "Надежность и техническая диагностика приборов", 000001605	Утвержден			
Начертательная геометрия	Кафедра 904			
РП дисциплины "Начертательная геометрия" (72ч= 18ЛК+16ПЗ+38СРС) 161101C, 000048572	Утвержден			
Основы автоматизированного проектирования	Кафедра 305			
РП дисциплины "Основы автоматизированного проектирования", 000001731	Утвержден			
Основы конструирования приборов	Кафедра 906			
РП дисциплины "Основы конструирования приборов", 000012961	В разработке			
Основы менеджмента	Кафедра 506			
РП дисциплины "Основы менеджмента" (161101) "Навигационные системы и инерциальные датчики систем управления ЛА" к. 305, разр. к.501, 000000976	В архиве			
РП дисциплины "Основы менеджмента" (161101) разр.к.501, 000018264	В архиве			
РП дисциплины "Основы менеджмента" каф. 506  161101, 000019551	Утвержден			
Основы прикладной гидро- и аэродинамики	Кафедра 602			
РП дисциплины "Основы прикладной гидро- и аэродинамики", 000012578	Утвержден			
Основы теории пилотажно-навигационных систем	Кафедра 305			
РП дисциплины "Основы теории пилотажно-навигационных систем", 000005953	Утвержден			
Основы теории управления	Кафедра 301			
РП дисциплины "Основы теории управления", 000011666	Утвержден			
Политика и право	Кафедра 003			
РП дисциплины "Политика и право"    , 000023364	Утвержден			
Политология	Кафедра 003			
РП дисциплины "Политология" , 000011648	Утвержден			
Правоведение	Кафедра 003			
РП дисциплины "Правоведение", 000011752	Утвержден			
Преддипломная практика	Кафедра 305			
РП практики "Преддипломная практика", 000011781	Утвержден			
Приборы и датчики высотно- скоростных параметров	Кафедра 303			
Нет РПД,				
Прикладная микромеханика	Кафедра 305			
РП дисциплины "Прикладная микромеханика", 000017052	Утвержден			
Проектирование навигационных систем	Кафедра 305			
РП дисциплины "Проектирование навигационных систем", 000003379	Утвержден			
Производственная практика	Кафедра 305			
РП практики "Производственная практика", 000008106	Утвержден			
Производственно-технологическая практика	Кафедра 307			
РП практики "Производственно-технологическая практика", 000012811	Утвержден			
Расчет и проектирование инерциальных датчиков	Кафедра 305			
РП дисциплины "Расчет и проектирование инерциальных датчиков", 000015413	Утвержден			
Системы автоматического управления воздушными летательными аппаратами	Кафедра 301			
РП дисциплины "Системы автоматического управления воздушными летательными аппаратами", 000039691	Утвержден			
Системы автоматического управления космическими летательными аппаратами	Кафедра 305			
РП дисциплины "Системы автоматического управления космическими летательными аппаратами", 000004320	Утвержден			
Системы аналитических вычислений	Кафедра 305			
РП дисциплины "Системы аналитических вычислений", 000009685	Утвержден			
Системы компьютерных вычислений	Кафедра 305			
РП дисциплины "Системы компьютерных вычислений", 000001339	Утвержден			
Случайные процессы и статистические технологии	Кафедра 305			
РП дисциплины "Случайные процессы и статистические технологии", 000009218	Утвержден			
Социология	Кафедра 009			
РП дисциплины "Социология" 2 з.е.   , 000010066	Утвержден			
Спутниковые навигационные измерения	Кафедра 305			
РП дисциплины "Спутниковые навигационные измерения", 000009542	Утвержден			
Спутниковые навигационные технологии	Кафедра 305			
РП дисциплины "Спутниковые навигационные технологии", 000002023	Утвержден			
Теоретическая механика	Кафедра 802			
РП дисциплины "Теоретическая механика" очного специалитета по 161101, 000102228	Утвержден			
Теоретические основы электротехники и электроизмерений	Кафедра 309			
РП дисциплины "Теоретические основы электротехники и электроизмерений" 161101.11 , 000013634	Утвержден			
Теория вероятностей и математическая статистика	Кафедра 302			
РП дисциплины "Теория вероятностей и математическая статистика" , 000001187	Утвержден			
Теория случайных процессов	Кафедра 305			
РП дисциплины "Теория случайных процессов" ., 000002415	Утвержден			
Теория функций комплексного переменного	Кафедра 804			
РП дисциплины "Теория функций комплексного переменного", 3 з.е. (161101) , 000014758	Утвержден			
Технология приборостроения	Кафедра 307			
РП дисциплины "Технология приборостроения", 000008631	Утвержден			
УИРС	Кафедра 305			
РП дисциплины "УИРС", 000006701	Утвержден			
Учебная практика	Кафедра 305			
РП практики "Учебная практика", 000008127	Утвержден			
Физика	Кафедра 801			
РП дисциплины "Физика" (специалитет 161101) , 000000507	Утвержден			
Физико-теоретические основы элементов и систем управления движением	Кафедра 305			
РП дисциплины "Физико-теоретические основы элементов и систем управления движением", 000008183	Утвержден			
Философия	Кафедра 517			
РП дисциплины "Философия"  очного специалитета по 161101, 000007491	Утвержден			
Химия	Кафедра 908			
РП дисциплины "Химия" для очного специалитета по 161101, 000015722	Утвержден			
Цифровые измерительно-управляющие системы	Кафедра 305			
РП дисциплины "Цифровые измерительно-управляющие системы", 000004318	Утвержден			
Численные методы	Кафедра 804			
РП дисциплины "Численные методы" для специалитета по направлению 161101, 000003096	Утвержден			
Экология	Кафедра 301			
РП дисциплины "Экология" (очн. спец. 161101.9 каф. 301), 000036481	Утвержден			
Экономика	Кафедра 507			
РП дисциплины "Экономика" (1 семестр) (Любимцева С.В.), 000019701	Утвержден			
Экономика отрасли	Кафедра 502			
РП дисциплины "Экономика отрасли" специалитет, 000014295	Утвержден			
Эксплуатационная практика	Кафедра 305			
РП практики "Эксплуатационная практика", 000011943	Утвержден			
Эксплуатация и испытание систем управления летательных аппаратов	Кафедра 305			
РП дисциплины "Эксплуатация и испытание систем управления летательных аппаратов" (Копия 12.12.2014 17:21:24 Кошелев Б.В.), 000020590	Утвержден			
Электроника	Кафедра 305			
РП дисциплины "Электроника" , 000014352	Утвержден			
Электрооборудование летательных аппаратов и средства их подготовки	Кафедра 310			
РП дисциплины "Электрооборудование летательных апппаратов и средства их подготовки", 000012022	Утвержден			
Элементы приборов и систем ориентации и навигации	Кафедра 305			
РП дисциплины "Элементы приборов и систем ориентации и навигации" , 000013949	Утвержден			
УП очного специалитета по 161101 "Управляющие пилотажно-навигационные комплексы летательных аппаратов"	Утвержден	74	73	000006032
Алгоритмические языки и программирование	Кафедра 311			
РП дисциплины "Алгоритмические языки и программирование", 000012609	Утвержден			
Безопасность жизнедеятельности	Кафедра 503			
РП дисциплины "Безопасность жизнедеятельности" (каф. 305 2й профиль), 000010476	Утвержден			
Введение в специальность	Кафедра 301			
РП дисциплины "Введение в специальность", 000002335	Утвержден			
Воздушная навигация и самолетовождение	Кафедра 305			
РП дисциплины "Воздушная навигация и самолетовождение", 000001816	Утвержден			
Гироскопические приборы	Кафедра 305			
РП дисциплины "Гироскопические приборы", 000008163	Утвержден			
Гироскопические системы	Кафедра 305			
РП дисциплины "Гироскопические системы", 000002563	Утвержден			
Гироскопические стабилизаторы	Кафедра 305			
РП дисциплины "Гироскопические стабилизаторы", 000007890	Утвержден			
Динамика полета воздушных и космических летательных аппаратов	Кафедра 301			
РП дисциплины "Динамика полета воздушных и космических летательных аппаратов" (161101.12 очн. спец.), 000001386	Утвержден			
Дифференциальные уравнения	Кафедра 804			
РП дисциплины "Дифференциальные уравнения" для очного специалитета по направлению 161101 на 3 з.е. , 000002361	Утвержден			
Инженерная и компьютерная графика	Кафедра 904			
РП дисциплины "Инженерная и компьютерная графика" (специалитет)  Кожухова Е.А., 000000730	Утвержден			
Иностранный язык-1	Кафедра И-12			
РП дисциплины "Иностранный язык-1" (оч.спец.Управляющие пилотажно-навигационные комплексы летательных аппаратов (каф.305) , 000014913	Утвержден			
Иностранный язык-2	Кафедра И-12			
РП дисциплины "Иностранный язык-2"  (очн. спец. 161101 "Управляющие пилотажно-навигационные комплексы летательных аппаратов"каф.305), 000037581	Утвержден			
Информатика	Кафедра 304			
РП дисциплины "Информатика" разр.каф. 304(спец.161101,2011), 000005143	Утвержден			
Испытание приборов и систем	Кафедра 308			
РП дисциплины "Испытание приборов и систем", 000017174	Утвержден			
История	Кафедра 518			
РП дисциплины "История" , 000006310	Утвержден			
История культуры	Кафедра 004			
РП дисциплины "История культуры" Шаблон УП очного специалитета по 161101, 000023818	Утвержден			
Культурология	Кафедра 004			
РП дисциплины "Культурология" очного специалитета по 161101, 000014606	Утвержден			
Линейная алгебра и аналитическая геометрия	Кафедра 804			
РП дисциплины Линейная алгебра (161101, 3ф 2011/12 уч.год) Осокин А.В., 000060260	Утвержден			
Математический анализ	Кафедра 804			
РП дисциплины "Математический анализ" для специалитета на 10 з.е. (161101)   , 000002825	Утвержден			
Материаловедение	Кафедра 903			
РП дисциплины "Материаловедение" очного специалитета по 161101    "Управляющие пилотажно-навигационные комплексы летательных аппаратов" (каф.305), 000015459	Утвержден			
Метрология, стандартизация и сертификация	Кафедра 303			
РП дисциплины "Метрология, стандартизация и сертификация", 000017191	Утвержден			
Микропроцессорная техника в приборах, системах и комплексах	Кафедра 305			
РП дисциплины "Микропроцессорная техника в приборах, системах и комплексах", 000008364	Утвержден			
Моделирование систем	Кафедра 305			
РП дисциплины "Моделирование систем", 000001471	Утвержден			
Навигационные системы и приборы летательных аппаратов	Кафедра 305			
РП дисциплины "Навигационные системы и приборы летательных аппаратов", 000008333	Утвержден			
РПД дисциплины "Навигационные системы и приборы летательных аппаратов" , 000026737	В архиве			
Надежность и техническая диагностика сложных систем	Кафедра 305			
РП дисциплины "Надежность и техническая диагностика сложных систем", 000001604	Утвержден			
Начертательная геометрия	Кафедра 904			
РП дисциплины "Начертательная геометрия" (72ч= 18ЛК+16ПЗ+38СРС) 161101C, 000048572	Утвержден			
Оптимизация и логико-математические методы в измерительных системах	Кафедра 305			
РП дисциплины "Оптимизация и логико-математические методы в измерительных системах", 000008236	Утвержден			
